"Name","State","Notes","User","Tags","Created","Runtime","Sweep","attack_type","dataset","diff_attack_steps","end","freq_log","gen_seed","guidance_scale","image_length","local_path","max_num_log_image","model_id","num_images","num_inference_steps","project_name","rand_aug","reference_model","reference_model_pretrain","run_name","save_locally","start","test_num_inference_steps","use_attack","use_attack_prompt","vae_attack_name","vae_attack_quality","w_channel","w_injection","w_mask_shape","w_measurement","w_pattern","w_pattern_const","w_radius","w_seed","with_tracking","TPR@1%FPR","acc","auc","clip_score_mean","clip_score_std","w_clip_score_mean","w_clip_score_std"
"s_500","finished","-","jurujin","tree_ring_watermark","2024-01-09T02:05:45.000Z","3447","","diff","Gustavosta/Stable-Diffusion-Prompts","500","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_500","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.07734806629834254","0.6740331491712708","0.69402643386954","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_490","finished","-","jurujin","tree_ring_watermark","2024-01-09T01:20:38.000Z","2698","","diff","Gustavosta/Stable-Diffusion-Prompts","490","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_490","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.09944751381215468","0.6850828729281768","0.6908671896462256","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_480","finished","-","jurujin","tree_ring_watermark","2024-01-09T00:23:14.000Z","3435","","diff","Gustavosta/Stable-Diffusion-Prompts","480","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_480","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.12154696132596685","0.6850828729281768","0.7189035743719666","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_470","finished","-","jurujin","tree_ring_watermark","2024-01-08T23:42:32.000Z","2434","","diff","Gustavosta/Stable-Diffusion-Prompts","470","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_470","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.1270718232044199","0.6850828729281768","0.7112420255791949","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_460","finished","-","jurujin","tree_ring_watermark","2024-01-08T22:45:32.000Z","3411","","diff","Gustavosta/Stable-Diffusion-Prompts","460","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_460","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.14917127071823205","0.701657458563536","0.7409267116388389","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_450","finished","-","jurujin","tree_ring_watermark","2024-01-08T22:04:05.000Z","2479","","diff","Gustavosta/Stable-Diffusion-Prompts","450","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_450","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.15469613259668508","0.6988950276243093","0.7285186654864014","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_440","finished","-","jurujin","tree_ring_watermark","2024-01-08T21:07:40.000Z","3376","","diff","Gustavosta/Stable-Diffusion-Prompts","440","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_440","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.18232044198895028","0.7154696132596685","0.7659259485363695","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_430","finished","-","jurujin","tree_ring_watermark","2024-01-08T20:27:59.000Z","2373","","diff","Gustavosta/Stable-Diffusion-Prompts","430","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_430","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.1712707182320442","0.7044198895027625","0.7513506913708373","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_420","finished","-","jurujin","tree_ring_watermark","2024-01-08T19:32:08.000Z","3342","","diff","Gustavosta/Stable-Diffusion-Prompts","420","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_420","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.19337016574585636","0.7209944751381216","0.7913219987179879","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
"s_410","finished","-","jurujin","tree_ring_watermark","2024-01-08T18:51:04.000Z","2456","","diff","Gustavosta/Stable-Diffusion-Prompts","410","200","20","0","7.5","512","/data/varlamov_a_data/dima/images","100","stabilityai/stable-diffusion-2-1-base","1","40","new_big_diff_attacks","0","ViT-g-14","laion2b_s12b_b42k","s_410","false","0","40","true","false","cheng2020-anchor","3","3","complex","circle","l1_complex","ring","0","10","999999","true","0.18232044198895028","0.7237569060773481","0.7749610817740606","0.36530479821710954","0.03854020883924598","0.3675846049140171","0.039215794373207394"
